class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,ID,fold,idx
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5c27f04c-bb99-11e8-b2b9-ac1f6b6435d0,3,7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5fb643ee-bb99-11e8-b2b9-ac1f6b6435d0,2,14
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60b57878-bb99-11e8-b2b9-ac1f6b6435d0,1,15
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5c1a898e-bb99-11e8-b2b9-ac1f6b6435d0,3,16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5b931256-bb99-11e8-b2b9-ac1f6b6435d0,2,44
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e22a522-bb99-11e8-b2b9-ac1f6b6435d0,2,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5f79a114-bb99-11e8-b2b9-ac1f6b6435d0,2,14
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5c68183e-bb99-11e8-b2b9-ac1f6b6435d0,1,9
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5dd74816-bb99-11e8-b2b9-ac1f6b6435d0,0,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5c801c04-bb99-11e8-b2b9-ac1f6b6435d0,4,15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e9afd56-bb99-11e8-b2b9-ac1f6b6435d0,0,87
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5f1af6b4-bb99-11e8-b2b9-ac1f6b6435d0,4,22
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5ffaea8a-bb99-11e8-b2b9-ac1f6b6435d0,3,33
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5fb9edb4-bb99-11e8-b2b9-ac1f6b6435d0,3,25
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60bfc742-bb99-11e8-b2b9-ac1f6b6435d0,0,23
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5f005cfa-bb99-11e8-b2b9-ac1f6b6435d0,2,18
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5beb608c-bb99-11e8-b2b9-ac1f6b6435d0,2,20
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636e164c-bb99-11e8-b2b9-ac1f6b6435d0,2,15
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5b99d3e8-bb99-11e8-b2b9-ac1f6b6435d0,1,18
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,61ef3044-bb99-11e8-b2b9-ac1f6b6435d0,4,99
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5b88d5e8-bb99-11e8-b2b9-ac1f6b6435d0,4,18
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6074a6a4-bb99-11e8-b2b9-ac1f6b6435d0,1,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6388d7d4-bb99-11e8-b2b9-ac1f6b6435d0,4,40
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64ab5506-bb99-11e8-b2b9-ac1f6b6435d0,4,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,643f73a4-bb99-11e8-b2b9-ac1f6b6435d0,1,11
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66552404-bb99-11e8-b2b9-ac1f6b6435d0,0,8
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6795f08c-bb99-11e8-b2b9-ac1f6b6435d0,2,10
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,670096d6-bb99-11e8-b2b9-ac1f6b6435d0,3,14
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6843322e-bb99-11e8-b2b9-ac1f6b6435d0,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6c3b163a-bb99-11e8-b2b9-ac1f6b6435d0,4,11
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68ad8444-bb99-11e8-b2b9-ac1f6b6435d0,1,43
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6a87e840-bb99-11e8-b2b9-ac1f6b6435d0,3,48
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6a959c74-bb99-11e8-b2b9-ac1f6b6435d0,0,27
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6a70893e-bb99-11e8-b2b9-ac1f6b6435d0,1,15
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6d856b08-bb99-11e8-b2b9-ac1f6b6435d0,0,42
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6afe63b2-bb99-11e8-b2b9-ac1f6b6435d0,0,11
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6a54e864-bb99-11e8-b2b9-ac1f6b6435d0,2,13
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7072246e-bb99-11e8-b2b9-ac1f6b6435d0,0,49
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6f2690b8-bb99-11e8-b2b9-ac1f6b6435d0,3,24
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,739453ba-bb99-11e8-b2b9-ac1f6b6435d0,3,34
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6f303dfc-bb99-11e8-b2b9-ac1f6b6435d0,4,12
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6f9cfc08-bb99-11e8-b2b9-ac1f6b6435d0,3,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6fa7b67a-bb99-11e8-b2b9-ac1f6b6435d0,4,20
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,707bfaa2-bb99-11e8-b2b9-ac1f6b6435d0,1,15
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6f38b45a-bb99-11e8-b2b9-ac1f6b6435d0,0,3
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70f46d52-bb99-11e8-b2b9-ac1f6b6435d0,2,17
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71c6077c-bb99-11e8-b2b9-ac1f6b6435d0,0,11
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75dd487a-bb99-11e8-b2b9-ac1f6b6435d0,4,17
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,730301da-bb99-11e8-b2b9-ac1f6b6435d0,3,10
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7465a65e-bb99-11e8-b2b9-ac1f6b6435d0,3,36
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,77d512f2-bb99-11e8-b2b9-ac1f6b6435d0,2,25
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,744fabec-bb99-11e8-b2b9-ac1f6b6435d0,3,17
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7318293e-bb99-11e8-b2b9-ac1f6b6435d0,2,24
